,Palmitic,Stearic,Oleic,Linoleic,Linolenic,Eicosanoic,Eicosenoic
1,9.7,5.2,31.0,52.7,0.4,0.4,0.1
2,11.1,5.0,32.9,49.8,0.3,0.4,0.1
3,11.5,5.2,35.0,47.2,0.2,0.4,0.1
4,10.0,4.8,30.4,53.5,0.3,0.4,0.1
5,12.2,5.0,31.1,50.5,0.3,0.4,0.1
6,9.8,4.2,43.0,39.2,2.4,0.4,0.5
7,10.5,5.0,31.8,51.3,0.4,0.4,0.1
8,10.5,5.0,31.8,51.3,0.4,0.4,0.1
9,11.5,5.2,35.0,47.2,0.2,0.4,0.1
10,10.0,4.8,30.4,53.5,0.3,0.4,0.1
11,11.1,5.0,32.9,49.8,0.3,0.4,0.1
12,9.3,4.4,43.3,39.2,2.3,0.4,0.5
13,12.2,5.0,31.1,50.5,0.3,0.4,0.1
14,9.7,5.6,35.2,47.8,0.5,0.4,0.2
15,11.1,4.6,28.3,50.6,4.2,0.4,0.2
16,11.0,4.7,29.8,49.6,3.4,0.4,0.2
17,11.6,6.0,35.4,45.9,0.2,0.4,0.1
18,9.8,5.3,31.7,51.3,0.8,0.4,0.2
19,6.1,4.1,24.0,64.3,0.1,0.3,0.1
20,6.2,3.9,27.1,59.9,1.3,0.3,0.3
21,6.0,4.9,22.8,64.4,0.3,0.3,0.2
27,7.2,4.5,25.6,61.1,0.2,0.3,0.2
30,6.2,4.1,26.8,61.4,0.1,0.3,0.2
31,6.1,4.0,25.2,63.2,0.1,0.2,0.2
32,10.9,3.6,26.0,52.6,5.5,0.4,0.2
33,9.6,3.5,30.3,49.2,5.9,0.4,0.3
34,10.0,2.3,36.9,47.1,2.2,0.5,0.5
35,5.1,2.3,55.9,27.4,6.8,0.5,0.5
36,9.7,3.4,59.3,20.5,0.1,1.5,1.2
39,6.1,4.1,26.7,61.0,0.6,0.3,0.2
40,6.2,4.0,25.8,62.2,0.4,0.3,0.2
41,6.0,3.8,29.6,57.7,1.2,0.3,0.3
42,6.5,2.8,23.2,66.1,0.1,0.2,0.2
43,7.0,3.4,23.2,64.9,0.1,0.2,0.2
44,6.0,4.0,28.3,60.1,0.1,0.3,0.2
45,11.2,6.2,37.7,43.6,0.2,0.5,0.2
46,7.6,4.7,29.1,56.1,0.7,0.4,0.2
47,7.7,4.7,31.1,54.3,0.8,0.4,0.2
48,9.9,5.2,37.4,44.2,2.1,0.4,0.3
49,11.5,5.1,27.8,54.5,0.2,0.4,0.1
50,11.3,5.8,35.2,46.7,0.2,0.4,0.1
51,14.9,2.6,68.2,12.8,0.6,0.4,0.3
52,9.3,2.8,65.0,17.0,3.9,0.5,0.7
53,10.5,4.2,25.5,52.0,7.8,0.1,0.1
54,10.0,4.2,24.9,53.2,6.9,0.4,0.1
55,10.4,4.2,25.9,50.8,7.5,0.4,0.4
56,10.5,4.2,24.4,52.1,7.5,0.4,0.1
57,10.5,4.3,24.6,53.1,7.6,0.1,0.1
58,10.2,4.0,23.1,55.1,7.1,0.5,0.1
59,10.9,3.8,27.2,49.5,6.4,0.7,0.9
60,11.9,3.8,25.7,52.7,5.8,0.1,0.1
75,10.9,2.7,76.7,7.9,0.8,0.1,0.1
76,10.5,2.8,75.8,8.0,0.7,0.1,0.1
77,12.0,2.7,75.1,8.5,0.8,0.1,0.1
78,11.7,2.9,74.6,10.1,0.6,0.1,0.1
79,11.4,3.0,73.0,10.6,0.7,0.1,0.1
80,4.8,1.8,62.6,20.0,9.5,0.1,1.4
81,5.5,1.7,59.0,21.3,9.3,0.6,1.5
82,5.1,1.9,59.2,22.3,9.3,0.7,1.6
83,4.8,1.9,61.6,20.9,8.0,0.8,1.5
88,10.0,3.3,60.0,21.3,0.2,1.5,1.3
89,9.6,3.3,57.7,20.7,0.2,1.5,1.8
90,12.2,5.4,29.4,53.0,1.0,0.1,0.1
91,11.0,5.3,35.0,45.2,1.3,1.3,0.7
92,11.9,5.6,33.6,48.9,1.0,0.1,0.1
93,11.4,5.8,34.5,48.3,1.0,0.1,0.1
94,10.7,5.4,39.3,43.2,1.4,0.1,0.1
95,11.2,6.2,35.8,44.1,0.7,1.1,0.1
96,11.4,5.8,33.9,48.1,0.8,0.8,0.1
97,11.5,6.2,39.7,42.6,0.8,0.1,0.1
98,13.0,6.2,25.8,55.0,0.8,0.1,0.1
99,13.0,6.7,29.6,50.8,0.5,0.1,0.1
100,13.1,6.3,26.5,53.6,0.5,0.5,0.1
101,11.6,6.5,38.4,42.8,0.5,0.7,0.1
102,13.1,5.7,31.7,49.5,0.6,0.1,0.1
103,6.1,4.1,25.1,63.5,0.5,0.1,0.1
106,6.3,4.2,27.4,61.4,0.8,0.1,0.1
107,6.2,4.2,27.1,61.8,0.8,0.1,0.1
108,6.2,4.2,27.0,60.9,0.5,0.3,0.1
109,6.2,4.0,28.3,59.7,0.9,0.1,0.1
110,5.6,4.2,25.7,58.9,1.7,2.8,0.9
111,6.4,3.9,26.0,63.7,0.5,0.1,0.1
112,6.8,4.3,26.4,60.5,1.3,0.1,0.1
113,6.0,4.4,27.1,60.9,0.9,0.1,0.1
114,6.4,4.8,25.3,61.8,1.0,0.1,0.1
115,5.9,4.5,24.1,61.7,0.9,0.6,0.6
116,6.2,4.1,29.9,57.8,1.3,0.1,0.1
117,6.6,4.7,24.5,62.8,0.3,0.4,0.1
118,6.4,4.4,24.4,63.7,0.4,0.4,0.1
119,5.4,2.0,53.2,28.9,7.3,0.6,1.3
120,5.1,1.9,59.2,22.4,9.3,0.6,1.5
121,10.7,1.8,30.2,55.5,0.9,0.5,0.3
129,4.5,1.7,64.9,18.6,8.3,0.1,0.1
130,5.7,2.1,54.6,26.8,8.0,0.1,0.1
131,6.2,2.2,52.2,29.0,8.0,0.1,0.1
132,9.7,3.9,25.1,54.2,5.9,0.1,0.1
